century,tried,gadm.adm0
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,5,Germany
1600,3,Germany
1600,1,Germany
1600,5,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,18,Germany
1600,16,Germany
1600,29,Germany
1600,2,Germany
1600,2,Germany
1600,7,Germany
1600,4,Germany
1600,2,Germany
1600,2,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,6,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,5,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,4,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,7,Germany
1600,4,Germany
1600,3,Germany
1600,2,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,3,Germany
1600,1,Germany
1600,5,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,3,Germany
1600,10,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,3,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,7,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,5,Germany
1600,2,Germany
1600,1,Germany
1600,3,Germany
1600,2,Germany
1600,5,Germany
1600,5,Germany
1600,1,Germany
1600,42,Germany
1600,1,Germany
1600,3,Germany
1600,3,Germany
1600,1,Germany
1600,3,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,2,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,2,Germany
1600,2,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,6,Germany
1600,1,Germany
1600,1,Germany
1600,4,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,2,Germany
1600,1,Germany
1600,2,Germany
1600,2,Germany
1600,1,Germany
1600,4,Germany
1600,4,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,4,Germany
1600,3,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,5,Germany
1600,2,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,5,Germany
1600,6,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,3,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,5,Germany
1600,7,Germany
1600,2,Germany
1600,2,Germany
1600,9,Germany
1600,1,Germany
1600,5,Germany
1600,1,Germany
1600,6,Germany
1600,11,Germany
1600,1,Germany
1600,3,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,5,Germany
1600,10,Germany
1600,11,Germany
1600,3,Germany
1600,1,Germany
1600,4,Germany
1600,1,Germany
1600,1,Germany
1600,6,Germany
1600,3,Germany
1600,1,Germany
1600,4,Germany
1600,7,Germany
1600,3,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,6,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,6,Germany
1600,1,Germany
1600,3,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,3,Germany
1600,1,Germany
1600,10,Germany
1600,2,Germany
1600,2,Germany
1600,2,Germany
1600,3,Germany
1600,1,Germany
1600,1,Germany
1600,27,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,3,Germany
1600,1,Germany
1600,6,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,4,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,3,Germany
1600,2,Germany
1600,1,Germany
1600,2,Germany
1600,1,Germany
1600,5,Germany
1600,1,Germany
1600,4,Germany
1600,2,Germany
1600,4,Germany
1600,2,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,2,Germany
1600,19,Germany
1600,2,Germany
1600,2,Germany
1600,2,Germany
1600,4,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,12,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,3,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,5,Germany
1600,3,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
1600,4,Germany
1600,1,Germany
1600,1,Germany
1600,1,Germany
